[2024-04-11 13:35:04,464][core][INFO] - Seed: 3407, Step: 2000, Eval mean: 264.4, Eval std: 52.063807006403216
[2024-04-11 13:35:28,491][core][INFO] - Seed: 3407, Step: 4000, Eval mean: 127.6, Eval std: 4.176122603564219
[2024-04-11 13:35:52,622][core][INFO] - Seed: 3407, Step: 6000, Eval mean: 107.6, Eval std: 4.004996878900157
[2024-04-11 13:36:16,680][core][INFO] - Seed: 3407, Step: 8000, Eval mean: 98.1, Eval std: 2.3
[2024-04-11 13:36:43,140][core][INFO] - Seed: 3407, Step: 10000, Eval mean: 326.3, Eval std: 56.205070945600625
[2024-04-11 13:37:07,773][core][INFO] - Seed: 3407, Step: 12000, Eval mean: 247.7, Eval std: 5.950630218724736
[2024-04-11 13:37:33,367][core][INFO] - Seed: 3407, Step: 14000, Eval mean: 188.5, Eval std: 3.8794329482541645
[2024-04-11 13:38:00,995][core][INFO] - Seed: 3407, Step: 16000, Eval mean: 500.0, Eval std: 0.0
[2024-04-11 13:38:28,112][core][INFO] - Seed: 3407, Step: 18000, Eval mean: 500.0, Eval std: 0.0
[2024-04-11 13:38:53,944][core][INFO] - Seed: 3407, Step: 20000, Eval mean: 207.6, Eval std: 5.462600113499065
[2024-04-11 13:39:21,156][core][INFO] - Seed: 3407, Step: 22000, Eval mean: 500.0, Eval std: 0.0
[2024-04-11 13:39:48,223][core][INFO] - Seed: 3407, Step: 24000, Eval mean: 500.0, Eval std: 0.0
[2024-04-11 13:40:13,514][core][INFO] - Seed: 3407, Step: 26000, Eval mean: 169.7, Eval std: 1.676305461424021
[2024-04-11 13:40:38,014][core][INFO] - Seed: 3407, Step: 28000, Eval mean: 157.0, Eval std: 3.521363372331802
[2024-04-11 13:41:04,251][core][INFO] - Seed: 3407, Step: 30000, Eval mean: 293.7, Eval std: 45.97836447721907
[2024-04-11 13:41:30,601][core][INFO] - Seed: 3407, Step: 32000, Eval mean: 500.0, Eval std: 0.0
[2024-04-11 13:41:55,617][core][INFO] - Seed: 3407, Step: 34000, Eval mean: 500.0, Eval std: 0.0
[2024-04-11 13:42:21,091][core][INFO] - Seed: 3407, Step: 36000, Eval mean: 441.9, Eval std: 52.741729209422026
[2024-04-11 13:42:44,019][core][INFO] - Seed: 3407, Step: 38000, Eval mean: 500.0, Eval std: 0.0
[2024-04-11 13:43:06,503][core][INFO] - Seed: 3407, Step: 40000, Eval mean: 487.7, Eval std: 36.9
[2024-04-11 13:43:28,967][core][INFO] - Seed: 3407, Step: 42000, Eval mean: 500.0, Eval std: 0.0
[2024-04-11 13:43:50,746][core][INFO] - Seed: 3407, Step: 44000, Eval mean: 500.0, Eval std: 0.0
[2024-04-11 13:44:11,929][core][INFO] - Seed: 3407, Step: 46000, Eval mean: 265.2, Eval std: 5.362835071116769
[2024-04-11 13:44:34,294][core][INFO] - Seed: 3407, Step: 48000, Eval mean: 500.0, Eval std: 0.0
[2024-04-11 13:44:55,786][core][INFO] - Seed: 3407, Step: 50000, Eval mean: 352.4, Eval std: 120.75363348570508
